context,label
"<0&nbsp;m676-0011兵庫県高砂市荒井町小松原4-1005電話番号079-490-3731営業時間08:00～22:00定休日不定休アクセス電車荒井（兵庫県）駅（山陽電気鉄道）徒歩17分高砂（兵庫県
<営業時間は?",08:00～22:00
"<&amp;Payお車でも便利なドライブスルー店舗です。※台風、その他災害等により、予告なく臨時休業や営業時間を変更をさせて頂くことがありますが、あらかじめご了承下さい。※在庫・販売状況について、お電話でのお問
<営業時間は?",
"<&amp;マグカップグッズコーヒー器具Home店舗検索宮城県仙台市太白区仙台大野田店仙台大野田店臨時営業時間のお知らせ2023年12月31日～2024年1月1日営業時間：08:00～22:00仙台大野田店地図
<営業時間は?",
"<00&nbsp;m982-0014宮城県仙台市太白区大野田4-2-1電話番号022-746-8835営業時間07:00～23:00定休日不定休アクセス電車富沢駅／北1出口（仙台市交通局）徒歩12分太子堂駅（Ｊ
<営業時間は?",07:00～23:00
"<合がございます。お車でも便利なドライブスルー店舗です。※台風、その他災害等により、予告なく臨時休業や営業時間を変更をさせて頂くことがありますが、あらかじめご了承下さい。※在庫・販売状況について、お電話でのお問
<営業時間は?",
"<マグカップグッズコーヒー器具Home店舗検索滋賀県彦根市カインズモール彦根店カインズモール彦根店臨時営業時間のお知らせ2023年12月31日～2024年1月1日営業時間：08:00～22:00カインズモール彦
<営業時間は?",
"<TD.200&nbsp;m522-0069滋賀県彦根市馬場2-1-1電話番号0749-30-1260営業時間08:00～23:00定休日不定休アクセス電車彦根駅／西口（近江鉄道、ＪＲ西日本）徒歩35分ひこね芹
<営業時間は?",08:00～23:00
"<合がございます。お車でも便利なドライブスルー店舗です。※台風、その他災害等により、予告なく臨時休業や営業時間を変更をさせて頂くことがありますが、あらかじめご了承下さい。※在庫・販売状況について、お電話でのお問
<営業時間は?",
"<sp;m150-0042東京都渋谷区宇田川町21-6QFRONT1F電話番号03-3770-2301営業時間休業中アクセス電車渋谷駅／A7口（ＪＲ東日本、東急電鉄、東京地下鉄（メトロ）、京王電鉄）徒歩3分神泉
<営業時間は?",
"<のドリンクについて、トールサイズのみの提供となります。※台風、その他災害等により、予告なく臨時休業や営業時間を変更をさせて頂くことがありますが、あらかじめご了承下さい。※在庫・販売状況について、お電話でのお問
<営業時間は?",
"<200&nbsp;m733-0007広島県広島市西区大宮1-26-4電話番号082-962-8390営業時間08:00～22:00定休日不定休アクセス電車白島（広島高速交通）駅／西出口（広島高速交通）徒歩18
<営業時間は?",08:00～22:00
